"date","close","open","high","low","volume"
1975-01-03,174.7,173,175.5,170.5,NA
1975-01-06,174.4,172,174.5,167.5,NA
1975-01-07,173.4,171,174,168.5,NA
1975-01-08,177.4,176,180,176,NA
1975-01-09,178.3,179,179.1,177,NA
1975-01-10,181.3,177,181.3,176.5,NA
1975-01-13,178.6,181,181,178.6,NA
1975-01-14,178.6,177,178.6,176.5,NA
1975-01-15,177.3,178.8,179.4,177.3,NA
1975-01-16,175.1,177,177,174.6,NA
1975-01-17,172.1,174.7,175.8,172.1,NA
1975-01-20,176.2,173.6,176.2,173.6,NA
1975-01-21,173.7,173.7,173.7,173.7,NA
1975-01-22,174.3,175.9,175.9,174.3,NA
1975-01-23,176.4,177,178.9,176.4,NA
1975-01-24,179.5,179,180,177.8,NA
1975-01-27,176.8,180,180,176.8,NA
1975-01-28,176,177.3,177.3,175.4,NA
1975-01-29,179.1,177.4,179.1,177.4,NA
1975-01-30,178.3,179.7,180.7,178,NA
1975-01-31,178,178,178.4,177,NA
1975-02-03,178.3,179.1,179.7,178.1,NA
1975-02-04,177.3,176.5,177.5,175.6,NA
1975-02-05,176.7,177.2,177.7,176.5,NA
1975-02-06,176.3,174.9,176.7,174.1,NA
1975-02-07,177.3,177.2,177.4,176.4,NA
1975-02-10,175.6,176,176.4,175.5,NA
1975-02-11,176.8,176.3,177.1,171.3,NA
1975-02-13,185.8,180.5,186.7,180.2,NA
1975-02-14,184.9,186,186.8,182.5,NA
1975-02-18,185.4,182,185.7,181.7,NA
1975-02-19,185.6,186,188,185.5,NA
1975-02-20,187.7,185.7,188.4,185.4,NA
1975-02-21,186,188,188.5,185,NA
1975-02-24,186.9,186.7,187.5,186.7,NA
1975-02-25,184.4,189,189,184.1,NA
1975-02-26,185.2,185.5,185.7,183.2,NA
1975-02-27,182.5,184.2,184.9,181.4,NA
1975-02-28,183,183,183,181,NA
1975-03-03,182.6,183.3,187.5,182.2,NA
1975-03-04,177,181.5,185,177,NA
1975-03-05,178.7,177,180.1,176.4,NA
1975-03-06,180.6,179.8,181.4,179.8,NA
1975-03-07,178,179.5,179.5,176.8,NA
1975-03-10,177.2,177.1,177.8,176.1,NA
1975-03-11,180,179.1,180.5,178.7,NA
1975-03-12,178.1,178,178.7,177.6,NA
1975-03-13,179.5,178.9,180,178.9,NA
1975-03-14,178.7,178.4,178.7,178.1,NA
1975-03-17,179,178.5,179.3,177.6,NA
1975-03-18,178.6,179,179.5,178.3,NA
1975-03-19,179.2,179.2,179.4,178.5,NA
1975-03-20,175.5,178.8,178.8,175,NA
1975-03-21,175.6,176.5,177,175.5,NA
1975-03-24,175.9,176.8,178.8,175.2,NA
1975-03-25,176.2,177.2,177.2,175.7,NA
1975-03-26,178.1,176.5,178.2,176.5,NA
1975-03-27,176,177.8,178,175.4,NA
1975-03-31,179.5,178.2,179.7,178,NA
1975-04-01,179.1,179.7,179.7,178.4,NA
1975-04-02,178.1,179.6,179.9,177.9,NA
1975-04-03,177.1,177.5,177.5,176,NA
1975-04-04,173.8,175.5,175.9,173.3,NA
1975-04-07,174.1,174.5,174.5,173,NA
1975-04-08,174.5,175.2,175.6,174.4,NA
1975-04-09,174.5,174,174.7,173.3,NA
1975-04-10,173.1,173.7,173.7,172.1,NA
1975-04-11,172.7,173.3,173.3,172.2,NA
1975-04-14,166.2,169,169.7,165.8,NA
1975-04-15,164.6,163,165.7,162.3,NA
1975-04-16,166.5,166.5,167.4,166.1,NA
1975-04-17,169.5,167.5,170.2,166.9,NA
1975-04-18,169,170.8,171,168.4,NA
1975-04-21,165.7,166,166.4,164.9,NA
1975-04-22,166.7,165.1,168,165,NA
1975-04-23,168.8,166.9,169.5,165.8,NA
1975-04-24,167,168.5,168.5,166.5,NA
1975-04-25,166.8,166.5,167.2,166,NA
1975-04-28,166.3,166.4,167.7,166.3,NA
1975-04-29,167.8,167.5,168.4,167.3,NA
1975-04-30,166.8,167.3,168,166.5,NA
1975-05-01,165.5,167,167,165.5,NA
1975-05-02,165,166.2,166.5,165,NA
1975-05-05,163.5,164.2,164.2,163.4,NA
1975-05-06,164.9,164.5,167.4,164.1,NA
1975-05-07,166.1,165.1,166.5,165.1,NA
1975-05-08,167.3,166.4,167.5,166.4,NA
1975-05-09,166.6,166.7,166.7,165.9,NA
1975-05-12,165.9,166,166,165.6,NA
1975-05-13,166.7,166.5,166.8,166,NA
1975-05-14,169.3,167.4,171.3,167,NA
1975-05-15,165.9,166.5,166.7,165.7,NA
1975-05-16,166.9,166.5,168.5,166.2,NA
1975-05-19,167.7,167.6,169.4,167.6,NA
1975-05-20,168.2,167.2,168.5,167.2,NA
1975-05-21,172.2,169,172.8,168.7,NA
1975-05-22,173.5,175.7,176.9,173.3,NA
1975-05-23,174.7,174.8,175.2,173.3,NA
1975-05-27,172,173.5,173.6,172,NA
1975-05-28,170,172,172.4,169.6,NA
1975-05-29,170.1,171.9,172.1,169.1,NA
1975-05-30,169,169.1,169.7,168.2,NA
1975-06-02,165.2,164.5,165.5,162.4,NA
1975-06-03,167.5,167,167.8,166.4,NA
1975-06-04,165.9,167.5,167.5,165.7,NA
1975-06-05,167.4,166,168.2,165.7,NA
1975-06-06,167.2,167.4,167.6,166.8,NA
1975-06-09,168.5,167.7,168.5,167,NA
1975-06-10,167.3,168.3,168.3,167,NA
1975-06-11,167.1,167,168.2,166,NA
1975-06-12,166.5,167,167.6,166.5,NA
1975-06-13,165.9,166.5,166.5,165.7,NA
1975-06-16,164.4,165.8,166,164,NA
1975-06-17,166,164.9,166.2,164.9,NA
1975-06-18,165.4,165.6,165.7,164.3,NA
1975-06-19,164.3,164.6,168.5,163.4,NA
1975-06-20,164.3,163.9,164.5,163.9,NA
1975-06-23,163.5,163.8,164,163.3,NA
1975-06-24,164.5,163.5,164.7,163.4,NA
1975-06-25,166.3,165,166.4,165,NA
1975-06-26,166,165.6,166.2,165.2,NA
1975-06-27,167.9,165.7,175,165.7,NA
1975-06-30,167.8,168.4,173.3,160,NA
1975-07-01,168.1,168.3,169.9,167.1,NA
1975-07-02,166.3,166.5,167.2,166.1,NA
1975-07-03,166.4,166,166.5,165.3,NA
1975-07-07,164,165.5,165.8,163.6,NA
1975-07-08,166.7,164.3,167.1,164.3,NA
1975-07-09,166.9,167.5,167.7,162,NA
1975-07-10,165.3,165.9,165.9,164.6,NA
1975-07-11,167.4,166,175.2,165.9,NA
1975-07-14,167,167.8,168.3,166.5,NA
1975-07-15,165.9,166.2,166.5,165.8,NA
1975-07-16,165.3,165.3,165.7,165,NA
1975-07-17,165.3,165.5,165.8,164.6,NA
1975-07-18,165.4,164.4,166,164,NA
1975-07-21,165.1,164.2,165.7,164.1,NA
1975-07-22,166.4,166.4,166.8,161.4,NA
1975-07-23,165.5,165.2,165.6,164.7,NA
1975-07-24,166,165.8,166.3,165.5,NA
1975-07-25,167.9,166.2,167.9,166.1,NA
1975-07-28,169.8,167.1,170.1,167.1,NA
1975-07-29,167.7,170.4,170.8,167.6,NA
1975-07-30,173.8,175.2,175.4,173.4,NA
1975-07-31,173.4,173.5,174.3,173,NA
1975-08-01,173.4,173.8,173.9,173.4,NA
1975-08-04,173.1,173.1,173.9,173.1,NA
1975-08-05,171.6,172.7,172.7,171.5,NA
1975-08-06,171,171.3,171.7,170.5,NA
1975-08-07,171.3,172,172,171,NA
1975-08-08,166.6,171,171,165.5,NA
1975-08-11,166.7,166,168,166,NA
1975-08-12,168.4,168,169.2,167.7,NA
1975-08-13,165,168,168,160.4,NA
1975-08-14,163.9,165.1,166.3,163,NA
1975-08-15,166.8,165,166.8,164.9,NA
1975-08-18,162.2,166.9,166.9,162.2,NA
1975-08-19,166.2,165.8,166.4,165.3,NA
1975-08-20,167,167,167.8,166.5,NA
1975-08-21,166.3,166.5,166.7,165.6,NA
1975-08-22,165.8,166.6,166.7,165.8,NA
1975-08-25,166,165.9,166.3,165.7,NA
1975-08-26,165.9,166.1,166.5,165.3,NA
1975-08-27,166.3,165.6,166.3,164.8,NA
1975-08-28,165.5,166.3,166.8,165.3,NA
1975-08-29,162.8,165.5,167,162.5,NA
1975-09-02,152.8,152.8,153.3,152.8,NA
1975-09-03,153.7,151,154.4,150.8,NA
1975-09-04,155.2,155.8,156.3,154.8,NA
1975-09-05,156,155.6,156,155.4,NA
1975-09-08,153,155.4,155.4,152.8,NA
1975-09-09,151.8,148,151.9,148,NA
1975-09-10,150.4,152.9,153.2,150.3,NA
1975-09-11,149.6,149.5,150.2,148.5,NA
1975-09-12,149.7,149.6,150.2,149.5,NA
1975-09-15,150,150,150.2,149.8,NA
1975-09-16,147.7,149.1,149.4,147.5,NA
1975-09-17,144.3,145,145.5,143,NA
1975-09-18,137.8,143.2,143.2,136.7,NA
1975-09-19,138.4,135.4,141.2,135,NA
1975-09-22,134.8,139,139.1,133.8,NA
1975-09-23,131.2,129,132.1,129,NA
1975-09-24,137.5,135.8,137.5,134.2,NA
1975-09-25,137,135.8,137.8,135.4,NA
1975-09-26,139,136.1,139.3,136.1,NA
1975-09-29,139.8,138.2,141.3,138.2,NA
1975-09-30,142.2,141.5,143.9,141.5,NA
1975-10-01,144.2,145,145.8,143.6,NA
1975-10-02,143.4,145,146.2,142.5,NA
1975-10-03,139.9,140.7,141.5,138.9,NA
1975-10-06,142.6,139.4,142.7,139.2,NA
1975-10-07,143.7,143.8,144.7,143.3,NA
1975-10-08,139.6,141.6,141.7,138.5,NA
1975-10-09,141.7,141.2,141.7,140,NA
1975-10-10,143.6,142.3,144,142.2,NA
1975-10-14,142.9,142.2,143.3,140.7,NA
1975-10-15,142.9,144,144.5,142.5,NA
1975-10-16,144,144.7,145.5,143.8,NA
1975-10-17,146.1,146,147.4,145.7,NA
1975-10-20,146.8,146.4,146.8,145.5,NA
1975-10-21,145.2,147.9,148,144.6,NA
1975-10-22,146.5,145.6,146.6,144.8,NA
1975-10-23,145.1,145.9,145.9,143.9,NA
1975-10-24,144.1,144,145,143.5,NA
1975-10-27,143,143.5,143.6,142.7,NA
1975-10-28,143.3,142.8,143.4,142,NA
1975-10-29,144.1,143,144.3,142.5,NA
1975-10-30,143.6,145,145,143.5,NA
1975-10-31,142.8,143.3,143.3,142.3,NA
1975-11-03,143.3,143.5,143.7,142.3,NA
1975-11-05,148.4,145.3,149.1,145.2,NA
1975-11-06,146,147.4,147.6,146,NA
1975-11-07,146.1,145.2,146.3,144.6,NA
1975-11-10,144.7,144.5,145.3,144.5,NA
1975-11-12,144,144,144.5,143.3,NA
1975-11-13,142.9,144.2,144.4,142.8,NA
1975-11-14,141.6,143.3,143.3,141,NA
1975-11-17,139.3,141.8,142,139.1,NA
1975-11-18,140.3,140.3,140.4,138.1,NA
1975-11-19,142.9,141.9,143,141.1,NA
1975-11-20,141.8,142,142.9,141.8,NA
1975-11-21,141.1,141.8,141.8,140.6,NA
1975-11-24,141.3,140.8,141.3,140,NA
1975-11-25,140.3,141.3,141.8,140.2,NA
1975-11-26,139.6,140.5,140.5,139.5,NA
1975-11-28,138.8,138.6,139.4,138.2,NA
1975-12-01,138.4,138.8,138.8,138,NA
1975-12-02,140,139.2,141.3,138.8,NA
1975-12-03,139,140.5,140.6,138.9,NA
1975-12-04,139,139.6,140.3,139,NA
1975-12-05,138.7,138.6,138.8,137.8,NA
1975-12-08,136.9,138.2,138.2,136.7,NA
1975-12-09,138.2,136.9,138.7,136.7,NA
1975-12-10,139.9,138.8,140.3,138.7,NA
1975-12-11,140,140.5,141.4,140,NA
1975-12-12,138.9,139,139.3,138.5,NA
1975-12-15,138.1,139,139,137.5,NA
1975-12-16,138.9,138.7,139.4,138.6,NA
1975-12-17,139.2,138.6,139.6,138.6,NA
1975-12-18,139.1,139.7,139.9,138.2,NA
1975-12-19,146.1,139.2,147.9,139.2,NA
1975-12-22,143.7,143.9,145.7,143.7,NA
1975-12-23,141.9,142.5,143,141.3,NA
1975-12-24,141.7,141.4,142.1,141.4,NA
1975-12-29,141.9,142.4,143,141.7,NA
1975-12-30,141.8,141.6,142.1,141.2,NA
1975-12-31,141,141.3,141.4,140.8,NA
1976-01-02,141.2,140.8,141.5,140.6,NA
1976-01-05,139.6,139.5,140.2,138.7,NA
1976-01-06,140.1,139.3,140.5,139.3,NA
1976-01-07,139.4,139.2,139.6,138.9,NA
1976-01-08,136.1,137.2,137.3,135.5,NA
1976-01-09,136.9,136.5,137.3,136.5,NA
1976-01-12,136.9,137.3,137.3,136.8,NA
1976-01-13,132,134,134,131.4,NA
1976-01-14,133,130.8,133,130.6,NA
1976-01-15,131.5,132.8,133.2,131.3,NA
1976-01-16,131,130.5,131.4,130,NA
1976-01-19,127.6,129.6,130.1,127.6,NA
1976-01-20,124.1,126.1,126.3,123.4,NA
1976-01-21,123.7,124.6,125.9,123.4,NA
1976-01-22,125.5,125.3,126.8,124.3,NA
1976-01-23,127.9,129,129.6,127.6,NA
1976-01-26,125.5,126.3,127.2,124.8,NA
1976-01-27,125.9,126.1,126.3,125.6,NA
1976-01-28,128.2,127.7,128.2,127.1,NA
1976-01-29,129,130,130.5,128.8,NA
1976-01-30,129,128.5,129.6,128.4,NA
1976-02-02,131.3,130.5,131.4,130.5,NA
1976-02-03,131.1,133,133,130.6,NA
1976-02-04,129.2,130.2,130.4,129,NA
1976-02-05,129.2,128.8,129.5,128.5,NA
1976-02-06,131.2,130.7,131.6,130.4,NA
1976-02-09,130.2,130.8,131,129.6,NA
1976-02-10,130.6,130.7,131.2,128.6,NA
1976-02-11,130.1,130.5,131.3,129.9,NA
1976-02-12,130.5,130.8,131.8,130.4,NA
1976-02-13,131,131.2,132,130.3,NA
1976-02-17,130,129.5,130.1,129.1,NA
1976-02-18,130.3,131.1,131.2,130.2,NA
1976-02-19,130.5,130.6,131,130.2,NA
1976-02-20,131.6,131,131.8,130.9,NA
1976-02-23,131.5,131.1,131.6,131.1,NA
1976-02-24,134.2,132.5,134.2,132.3,NA
1976-02-25,133.6,134.6,134.7,133.5,NA
1976-02-26,132.4,132.6,132.7,132,NA
1976-02-27,132.6,132.6,133.2,132.2,NA
1976-03-01,132.3,132.5,132.5,131.9,NA
1976-03-02,131.8,131.5,132,131.4,NA
1976-03-03,132.2,133,133,132.2,NA
1976-03-04,133.2,132.5,133.4,132.5,NA
1976-03-05,134.5,134.2,135,134,NA
1976-03-08,133.5,133.6,133.7,133.1,NA
1976-03-09,133.7,133.5,134.1,133.4,NA
1976-03-10,134.2,134.6,134.7,134.2,NA
1976-03-11,133.8,134.2,134.3,133.6,NA
1976-03-12,133.5,133.6,133.9,133.5,NA
1976-03-15,133.5,134,134.6,133.4,NA
1976-03-16,133.3,133.6,133.6,132.8,NA
1976-03-17,134.4,133.3,134.5,133.3,NA
1976-03-18,134.3,135,135.3,134.1,NA
1976-03-19,134.8,134.3,135,134.2,NA
1976-03-22,134.2,134.3,134.4,134,NA
1976-03-23,133.9,133.3,133.9,133.3,NA
