date,close,open,high,low,volume
1983-03-31,29.27,29.4,29.6,29.25,520.0
1983-04-04,29.44,29.3,29.7,29.29,160.0
1983-04-05,29.71,29.5,29.8,29.5,180.0
1983-04-06,29.9,29.9,29.92,29.65,390.0
1983-04-07,30.17,29.92,30.2,29.86,820.0
1983-04-08,30.38,30.65,30.65,30.25,370.0
1983-04-11,30.25,30.4,30.41,30.0,270.0
1983-04-12,30.83,30.5,31.0,30.5,470.0
1983-04-13,30.82,30.6,30.95,30.6,660.0
1983-04-14,30.82,30.7,30.86,30.65,200.0
1983-04-15,30.48,30.57,30.6,30.35,300.0
1983-04-18,30.75,30.56,30.8,30.55,130.0
1983-04-19,30.75,30.7,30.85,30.7,320.0
1983-04-20,30.7,30.65,30.77,30.6,190.0
1983-04-21,30.68,30.75,30.75,30.58,110.0
1983-04-22,30.75,30.62,30.85,30.62,310.0
1983-04-25,30.84,30.78,30.89,30.78,110.0
1983-04-26,30.71,30.81,30.85,30.69,90.0
1983-04-27,30.78,30.8,30.82,30.78,20.0
1983-04-28,30.74,30.73,30.9,30.68,560.0
1983-04-29,30.63,30.7,30.74,30.63,320.0
1983-05-02,30.61,30.66,30.72,30.57,90.0
1983-05-03,30.5,30.7,30.7,30.45,330.0
1983-05-04,30.42,30.5,30.55,30.39,250.0
1983-05-05,30.2,30.47,30.47,30.2,120.0
1983-05-06,30.12,30.4,30.43,29.95,250.0
1983-05-09,30.1,30.43,30.43,29.95,210.0
1983-05-10,30.31,30.1,30.4,30.1,130.0
1983-05-11,29.97,30.15,30.15,29.95,230.0
1983-05-12,29.72,29.75,29.85,29.64,230.0
1983-05-13,29.8,29.65,29.8,29.53,90.0
1983-05-16,30.12,29.87,30.12,29.85,150.0
1983-05-17,29.91,30.0,30.2,29.9,120.0
1983-05-18,29.75,29.78,29.78,29.25,90.0
1983-05-19,29.95,29.91,30.0,29.91,90.0
1983-05-20,30.3,30.1,30.66,30.1,800.0
1983-05-23,30.27,30.25,30.5,30.25,210.0
1983-05-24,30.05,30.05,30.07,29.95,210.0
1983-05-25,30.25,29.95,30.25,29.95,30.0
1983-05-26,30.31,30.3,30.5,30.3,240.0
1983-05-27,30.19,30.25,30.48,30.15,160.0
1983-05-31,30.25,30.05,30.45,30.05,70.0
1983-06-01,30.33,30.35,30.35,30.2,40.0
1983-06-02,30.4,30.45,30.45,30.4,50.0
1983-06-03,30.36,30.35,30.45,30.3,160.0
1983-06-06,30.35,30.3,30.35,30.3,120.0
1983-06-07,30.58,30.1,30.6,30.1,290.0
1983-06-08,30.6,30.59,30.71,30.59,330.0
1983-06-09,30.49,30.6,30.65,30.45,240.0
1983-06-10,30.77,30.55,30.8,30.55,350.0
1983-06-13,31.0,30.86,31.05,30.85,180.0
1983-06-14,31.0,31.0,31.25,31.0,160.0
1983-06-15,31.3,31.1,31.3,31.1,160.0
1983-06-16,31.6,31.3,31.65,31.3,150.0
1983-06-17,31.4,31.47,31.6,31.4,130.0
1983-06-20,31.42,31.37,31.58,31.37,190.0
1983-06-21,31.18,31.33,31.35,31.15,160.0
1983-06-22,30.95,31.2,31.2,30.85,600.0
1983-06-23,31.1,31.17,31.3,31.1,200.0
1983-06-24,31.2,31.09,31.24,31.05,160.0
1983-06-27,31.2,31.2,31.3,31.15,60.0
1983-06-28,31.24,31.05,31.25,31.05,290.0
1983-06-29,31.2,31.2,31.2,31.15,240.0
1983-06-30,31.38,31.25,31.4,31.25,290.0
1983-07-01,31.35,31.42,31.45,31.3,40.0
1983-07-05,31.27,31.3,31.3,31.23,60.0
1983-07-06,31.2,31.12,31.2,31.0,710.0
1983-07-07,31.4,31.25,31.4,31.25,210.0
1983-07-08,31.4,31.4,31.45,31.38,260.0
1983-07-11,31.64,31.5,31.64,31.5,80.0
1983-07-12,31.72,31.71,31.9,31.71,580.0
1983-07-13,31.87,31.89,31.92,31.8,380.0
1983-07-14,31.85,31.8,31.85,31.77,180.0
1983-07-15,31.7,31.8,31.85,31.7,200.0
1983-07-18,31.7,31.8,31.8,31.7,150.0
1983-07-19,31.62,31.62,31.62,31.43,330.0
1983-07-20,31.65,31.65,31.7,31.65,90.0
1983-07-21,31.51,31.6,31.6,31.5,140.0
1983-07-22,31.46,31.55,31.55,31.43,130.0
1983-07-25,31.4,31.35,31.45,31.35,60.0
1983-07-26,31.53,31.42,31.55,31.42,100.0
1983-07-27,31.73,31.75,31.8,31.65,220.0
1983-07-28,31.82,31.73,31.88,31.73,510.0
1983-07-29,32.0,31.92,32.02,31.9,250.0
1983-08-01,32.12,32.05,32.12,31.91,260.0
1983-08-02,32.2,32.23,32.35,32.23,150.0
1983-08-03,32.2,32.16,32.2,32.06,130.0
1983-08-04,32.14,32.3,32.3,32.17,200.0
1983-08-05,32.15,32.1,32.15,32.04,130.0
1983-08-08,32.05,32.05,32.05,32.03,70.0
1983-08-09,31.94,31.97,32.04,31.91,180.0
1983-08-10,32.14,32.12,32.23,32.12,240.0
1983-08-11,31.95,32.16,32.18,31.95,290.0
1983-08-12,31.99,31.95,32.0,31.95,170.0
1983-08-15,32.0,31.99,32.04,31.99,240.0
1983-08-16,31.98,31.98,32.01,31.98,110.0
