Row,gs_x1,gs_x2,gs_x3,gs_diff,gs_error,j_x1,j_x2,j_x3,j_diff,j_error
Initial data,0,0,0,NaN,1.37116813003232,0,0,0,NaN,1.37116813003232
1th approximation,0.25,0.5625,0.890625,1.0826445125825,0.371697029099409,0.25,0.5,0.75,0.935414346693485,0.468388466021572
2th approximation,0.390625,0.8203125,0.955078125,0.300660740875019,0.0828683035714286,0.375,0.75,0.875,0.306186217847897,0.165600330276709
3th approximation,0.455078125,0.8525390625,0.963134765625,0.072509765625,0.0103585379464286,0.4375,0.8125,0.9375,0.108253175473055,0.0585485582526965
4th approximation,0.463134765625,0.8565673828125,0.964141845703125,0.009063720703125,0.00129481724330362,0.453125,0.84375,0.953125,0.0382732772309872,0.0207000412845887
5th approximation,0.464141845703125,0.857070922851562,0.964267730712891,0.00113296508789062,0.00016185215541299,0.4609375,0.8515625,0.9609375,0.0135316469341319,0.00731856978158712
6th approximation,0.464267730712891,0.857133865356445,0.964283466339111,0.000141620635986328,2.02315194266624e-05,0.462890625,0.85546875,0.962890625,0.00478415965387339,0.00258750516057364
7th approximation,0.464283466339111,0.857141733169556,0.964285433292389,1.7702579498291e-05,2.52893992837134e-06,0.4638671875,0.8564453125,0.9638671875,0.00169145586676648,0.000914821222698445
8th approximation,0.464285433292389,0.857142716646194,0.964285679161549,2.21282243728638e-06,3.16117491084967e-07,0.464111328125,0.85693359375,0.964111328125,0.000598019956734174,0.000323438145071755
9th approximation,0.464285679161549,0.857142839580774,0.964285709895194,2.76602804660797e-07,3.95146864241703e-08,0.4642333984375,0.8570556640625,0.9642333984375,0.00021143198334581,0.000114352652837361
10th approximation,NaN,NaN,NaN,NaN,NaN,0.464263916015625,0.85711669921875,0.964263916015625,7.47524945917718e-05,4.04297681340203e-05
11th approximation,NaN,NaN,NaN,NaN,NaN,0.464279174804688,0.857131958007812,0.964279174804688,2.64289979182263e-05,1.42940816047251e-05
12th approximation,NaN,NaN,NaN,NaN,NaN,0.464282989501953,0.857139587402344,0.964282989501953,9.34406182397147e-06,5.05372101680342e-06
13th approximation,NaN,NaN,NaN,NaN,NaN,0.464284896850586,0.857141494750977,0.964284896850586,3.30362473977828e-06,1.78676020064566e-06
14th approximation,NaN,NaN,NaN,NaN,NaN,0.464285373687744,0.857142448425293,0.964285373687744,1.16800772799643e-06,6.31715127151308e-07
15th approximation,NaN,NaN,NaN,NaN,NaN,0.464285612106323,0.857142686843872,0.964285612106323,4.12953092472286e-07,2.23345025135733e-07
true value,0.464285714285714,0.857142857142857,0.964285714285714,NaN,0,0.464285714285714,0.857142857142857,0.964285714285714,NaN,0
