Row,gs_x1,gs_x2,gs_x3,gs_x4,gs_x5,gs_diff,gs_error,j_x1,j_x2,j_x3,j_x4,j_x5,j_diff,j_error
Initial data,0,0,0,0,0,NaN,1.49330083892695,0,0,0,0,0,NaN,1.49330083892695
1th approximation,0.625,0.660714285714286,0.610119047619048,0.522023809523809,0.380505952380952,1.27149803661728,0.226158463674337,0.625,0.571428571428571,0.5,0.4,0.25,1.09071335017267,0.42977739888265
2th approximation,0.707589285714286,0.759672619047619,0.713616071428571,0.618824404761905,0.404706101190476,0.193083863202467,0.0340058085584988,0.696428571428571,0.732142857142857,0.661904761904762,0.55,0.35,0.299406536963402,0.132733063762582
3th approximation,0.719959077380952,0.776225021258503,0.732508237670068,0.627442867772109,0.406860716943027,0.029373933747855,0.00479354404707074,0.716517857142857,0.765476190476191,0.713690476190476,0.602380952380952,0.3875,0.0913589890926916,0.0416147255401349
4th approximation,0.722028127657313,0.779219480761054,0.734443724755527,0.628260888339711,0.407065222084928,0.0042077128013433,0.000603528234963811,0.720684523809524,0.775744047619048,0.72797619047619,0.620238095238095,0.400595238095238,0.0285873126729618,0.0130543566127029
5th approximation,0.722402435095132,0.779549451407237,0.734635056624491,0.628340055741884,0.407085013935471,0.000540604998445981,6.2997356819881e-05,0.721968005952381,0.778380102040816,0.732663690476191,0.625714285714286,0.405059523809524,0.00897147003817402,0.00408717278388901
6th approximation,0.722443681425905,0.779582676864342,0.734653788767704,0.628347760540635,0.407086940135159,5.67376256152058e-05,6.26021942857256e-06,0.722297512755102,0.779233099489796,0.734015731292517,0.627544642857143,0.406428571428571,0.00280868161307864,0.00127955091681904
7th approximation,0.722447834608043,0.779585946196535,0.734655617789528,0.628348511584937,0.407087127896234,5.64642342191907e-06,6.13799619114338e-07,0.722404137436224,0.779473320578231,0.734462957057823,0.628088860544218,0.406886160714286,0.000880140173172919,0.000399705956751617
8th approximation,0.722448243274567,0.779586265866299,0.734655796241873,0.628348584827621,0.407087146206905,5.53843025234093e-07,5.99566214700199e-08,0.722434165072279,0.779552442070578,0.734593696853742,0.628269823554422,0.407022215136054,0.000274796616536521,0.000125001799396046
9th approximation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722444055258822,0.779575408846574,0.734637044270833,0.628323182397959,0.407067455888605,8.60126678640147e-05,3.90175803198759e-05
10th approximation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722446926105822,0.779583014218522,0.734649765207422,0.628340900031888,0.40708079559949,2.68284943888009e-05,1.21980479945116e-05
11th approximation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722447876777315,0.779585241616178,0.734653985708402,0.628346112161382,0.407085225007972,8.39426342751872e-06,3.80657291423855e-06
12th approximation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722448155202022,0.779585980355102,0.734655225629593,0.628347842143275,0.407086528040346,2.61751614933758e-06,1.18993122910986e-06
13th approximation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722448247544388,0.779586197261659,0.734655637083063,0.628348350733988,0.407086960535819,8.18893382680351e-07,3.71310364523739e-07
true value,0.722448287555103,0.779586300440827,0.734655815530688,0.628348592743303,0.407087148185826,NaN,0,0.722448287555103,0.779586300440827,0.734655815530688,0.628348592743303,0.407087148185826,NaN,0
