Row,gs_x1,gs_x2,gs_x3,gs_x4,gs_diff,gs_error,j_x1,j_x2,j_x3,j_x4,j_diff,j_error
Initial data,0,0,0,0,NaN,1.0545518948219,0,0,0,0,NaN,1.0545518948219
1th approximation,0.645161290322581,0.0581702802749868,0.597567424643046,-0.0163847734306595,0.881460242911082,0.237003493647906,0.645161290322581,0.163934426229508,0.491803278688525,0.163934426229508,0.84371354597747,0.303318147803759
2th approximation,0.808589547582819,0.0313787626913411,0.635103055951714,0.0125847330096363,0.172263567264492,0.0839193533086186,0.856689582231623,0.0581702802749868,0.490069440230254,0.0529687649001742,0.261240611386328,0.11309452087875
3th approximation,0.848030244928918,0.0249130746018167,0.622572346375471,0.0337329679272053,0.0469216394878782,0.0402386795484371,0.81865699669536,0.0234935111095699,0.59751057748048,0.123459246482333,0.138424932182145,0.0823246667675202
4th approximation,0.859717808912279,0.0229970805061838,0.61062064544319,0.0454021370576719,0.0204763973542657,0.0200140622404596,0.909979212688895,0.029728361197482,0.545052460781316,0.0405363415522624,0.134188981139486,0.0692464451223778
5th approximation,0.864008980339468,0.0222936097804151,0.603672201985046,0.0513654348752051,0.0101366074517638,0.00989485554930107,0.837547349254309,0.0147575061165745,0.614398991226204,0.104876816762709,0.12007972092535,0.0594757288260735
6th approximation,0.865841761920981,0.0219931537834457,0.600062298757403,0.0543334965266145,0.0050289316371533,0.00486714573402722,0.906256489882274,0.0266315820894575,0.560334439705487,0.0356555300989838,0.112145004099876,0.0574467718777607
7th approximation,0.866689076782963,0.0218542497077109,0.598254932897788,0.0557964626188157,0.00247872506644575,0.00238850774727391,0.84032707026258,0.0153677885438895,0.6169892408994,0.0936352821217375,0.105095097694272,0.050245011405383
8th approximation,0.867094712396035,0.0217877520662238,0.597362108511602,0.0565149165156823,0.00121748658038018,0.00117102741611652,0.899642585999673,0.0261758901208886,0.568161629799284,0.0348683896602558,0.097328457925622,0.0485420277942489
9th approximation,0.867291674024756,0.0217554632746302,0.596923279993775,0.0568672505040019,0.000597114860503749,0.00057391300535023,0.842491135160938,0.0164520350820209,0.616421152026008,0.0863342053774116,0.0913156797202605,0.0435604870268149
10th approximation,0.867387844428112,0.0217396976347357,0.596708006952804,0.0570399444336079,0.000292682383095847,0.000281230654656409,0.894399202483487,0.0258211253834529,0.573303985844474,0.0359504364291545,0.0847339453772578,0.0416091282926423
11th approximation,0.867434902640414,0.0217319831737026,0.596602479492784,0.0571245716901135,0.00014342874752311,0.000137801909468751,0.844962494619139,0.017311606150248,0.614852042092929,0.0812430264900128,0.0793351100994446,0.0379612763616104
12th approximation,0.867457948290099,0.0217282051983443,0.596550764185188,0.0571660393179423,7.0280952360859e-05,6.75209572762525e-05,0.890331125458938,0.0254159844886658,0.577047604698211,0.0377896427650098,0.0737656129671116,0.0359336113482957
13th approximation,0.867469237942815,0.021726354435604,0.596525423060827,0.0571863579741511,3.44369272024512e-05,3.30840300859391e-05,0.847487388948247,0.017978504023125,0.612979107278508,0.0774543987090215,0.0689584484718784,0.0330948475124604
